,ID,Test Name,Action,Description,Image(s) Used,,,,,,,,,,,,,,,,,,,
,SZ-07,Small image renders at correct natural dimensions in browser,Browser naturalWidth/naturalHeight matches buffer dimensions,"Reads c-sizing-small.jpg dimensions from sharp, then loads it as a base64 data URL in a Playwright browser page. Waits for the image to fully load, then reads naturalWidth and naturalHeight from the DOM. Asserts both match the sharp-reported dimensions exactly, catching browser decoding bugs where reported size diverges from actual pixel data.",c-sizing-small.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
EXIF Orientation,,,,,,,,,,,,,,,,,,,,,,,,
,OR-01 (x16),All orientation images have valid EXIF orientation tag,Orientation tag is numeric 1-8 using translateValues: false,Parses each of the 16 orientation test images (8 landscape + 8 portrait) using exifr with translateValues: false to get the raw numeric orientation tag. Asserts each tag is between 1 and 8 inclusive. Catches images where the EXIF orientation tag was stripped or corrupted during file preparation.,"Landscape_{1-8}-*.jpg, Portrait_{1-8}-*.jpg",,,,,,,,,,,,,,,,,,,
,OR-02 (x16),Each orientation image matches its expected tag value,Each image's tag matches its expected value 1 through 8,"Same parsing as OR-01 but asserts each image's orientation tag matches the specific expected value (e.g., Landscape_3 should have tag 3, Portrait_6 should have tag 6). Catches images where the tag is present but has the wrong value, such as a 90-degree image incorrectly tagged as 180.","Landscape_{1-8}-*.jpg, Portrait_{1-8}-*.jpg",,,,,,,,,,,,,,,,,,,
,OR-03 (x16),All orientation images have valid non-zero dimensions,Width and height > 0,Opens each of the 16 orientation images with sharp and asserts width > 0 and height > 0. A bulk integrity check that catches format corruption specific to certain orientation tags — some JPEG encoders produce invalid files for uncommon orientations like 5 or 7.,"Landscape_{1-8}-*.jpg, Portrait_{1-8}-*.jpg",,,,,,,,,,,,,,,,,,,
,OR-04,Landscape_1-Normal.jpg has landscape aspect ratio,width > height,"Opens Landscape_1-Normal.jpg with sharp and asserts width > height. This is the ground truth check — orientation tag 1 means no rotation needed, so the raw pixel dimensions should already be landscape (wider than tall).",Landscape_1-Normal.jpg,,,,,,,,,,,,,,,,,,,
,OR-05,Portrait_1-Normal.jpg has portrait aspect ratio,height > width,Opens Portrait_1-Normal.jpg with sharp and asserts height > width. Same ground truth check for the portrait series — raw pixels should already be taller than wide with no rotation needed.,Portrait_1-Normal.jpg,,,,,,,,,,,,,,,,,,,
,OR-06,Landscape_6 (6000x4000 variant) has expected dimensions,Expected 6000x4000,"Opens the high-resolution 6000x4000 orientation-6 variant with sharp and asserts width is 6000 and height is 4000. This dedicated large-format image has genuinely different raw pixel dimensions from the standard 600x450 orientation set, making it suitable for testing dimension-swap behavior in orientation-aware display logic.",c-Landscape_6-Rotated-90-CW-6000x4000.jpg,,,,,,,,,,,,,,,,,,,
,OR-07,Landscape_3 (180°) has same dimensions as Landscape_1,Identical width and height,Opens both Landscape_1-Normal.jpg and Landscape_3-Rotated-180.jpg with sharp and asserts they have identical width and height. A 180-degree rotation should never change dimensions — this catches bugs where rotation logic incorrectly swaps width and height for non-90-degree rotations.,"Landscape_3-Rotated-180.jpg, Landscape_1-Normal.jpg",,,,,,,,,,,,,,,,,,,
,OR-08,Orientation reference images are valid,Both have positive dimensions,Opens both Landscape_orientation-reference.jpg and Portrait-orientation-reference.jpg with sharp and asserts each has width > 0 and height > 0. Validates the visual reference images (used for manual side-by-side comparison) are intact and readable.,"Landscape_orientation-reference.jpg, Portrait-orientation-reference.jpg",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Metadata Preservation,,,,,,,,,,,,,,,,,,,,,,,,
,MP-01,Camera make is present in metadata-rich.jpg,Make field is truthy,"Parses metadata-rich.jpg with exifr and asserts the Make field is truthy (not undefined, null, or empty string). Make identifies the camera manufacturer (e.g., Canon, Nikon) and is one of the most commonly displayed metadata fields in photo info panels.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MP-02,Camera model is present in metadata-rich.jpg,Model field is truthy,"Parses metadata-rich.jpg with exifr and asserts the Model field is truthy. Model identifies the specific camera body (e.g., EOS R5, Z9) and is displayed alongside Make in photo info panels.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MP-03,Exposure time is present in metadata-rich.jpg,ExposureTime defined and > 0,Parses metadata-rich.jpg with exifr and asserts ExposureTime is defined and greater than 0. ExposureTime (shutter speed) is a core shooting parameter that photographers rely on seeing in image details.,metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MP-04,Aperture (FNumber) is present in metadata-rich.jpg,FNumber defined and > 0,Parses metadata-rich.jpg with exifr and asserts FNumber is defined and greater than 0. FNumber (aperture) is part of the exposure triangle and is critical for photographers evaluating depth of field.,metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MP-05,ISO is present in metadata-rich.jpg,ISO or ISOSpeedRatings present,"Parses metadata-rich.jpg with exifr looking for both ISO and ISOSpeedRatings tags, and asserts at least one is present. Cameras inconsistently use these two tag names for the same value, so both must be checked.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MP-06,Focal length is present in metadata-rich.jpg,FocalLength defined and > 0,Parses metadata-rich.jpg with exifr and asserts FocalLength is defined and greater than 0. Focal length is essential for photographers comparing lens performance and is commonly displayed in photo info panels.,metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MP-07,DateTimeOriginal is present in metadata-rich.jpg,Valid parseable date,"Parses metadata-rich.jpg with exifr, extracts DateTimeOriginal, converts it to a JavaScript Date, and asserts it's a valid parseable date (not NaN). This is the most important metadata field for photo organization — it drives timeline views, sorting, and date-based search.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MP-08,metadata-stripped.jpg has no camera EXIF fields,"Make, Model, ISO, FNumber, ExposureTime all absent","Parses metadata-stripped.jpg with exifr looking specifically for Make, Model, ISO, FNumber, and ExposureTime. Asserts none of these fields are present. This is the negative control — it confirms the stripped fixture is genuinely stripped so that 'missing metadata' assertions in other tests are meaningful.",metadata-stripped.jpg,,,,,,,,,,,,,,,,,,,
,MP-09,metadata-iptc.jpg has IPTC metadata present,Parseable data with > 0 fields,"Parses metadata-iptc.jpg with exifr using iptc: true and all: true options, then asserts the result is non-null and contains more than zero fields. Validates the IPTC fixture actually has embedded caption/keyword data that downstream IPTC-specific tests depend on.",metadata-iptc.jpg,,,,,,,,,,,,,,,,,,,
,MP-10,All orientation test images are valid and readable,"Valid JPEG magic bytes, positive dimensions","Scans TEST_IMAGES_DIR for files matching Landscape_{1-8} and Portrait_{1-8} patterns. For each file, checks the first two bytes are 0xFF 0xD8 (JPEG magic number), then opens with sharp and asserts width > 0 and height > 0. A bulk integrity check that catches corrupted orientation fixtures before they cause confusing failures in OR tests.","Landscape_{1-8}-*.jpg, Portrait_{1-8}-*.jpg",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Metadata API,,,,,,,,,,,,,,,,,,,,,,,,
,MA-01,metadata-rich.jpg EXIF contains required fields,"Make, Model, ExposureTime, FNumber, FocalLength present","Parses metadata-rich.jpg with exifr using all: true, then checks for the presence of Make, Model, ExposureTime, FNumber, and FocalLength. Collects any missing fields and fails if any are absent. This validates the primary metadata fixture has the complete set of camera fields that all downstream metadata tests depend on.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MA-02,metadata-rich.jpg image format is JPEG,format === jpeg,"Opens metadata-rich.jpg with sharp and reads the format field from metadata. Asserts it equals 'jpeg'. Catches format misidentification where a file has a .jpg extension but sharp detects a different format, which would indicate file corruption.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MA-03,metadata-rich.jpg EXIF DateTimeOriginal is a valid date,"Parseable date, year > 1990","Parses metadata-rich.jpg with exifr extracting only DateTimeOriginal. If present, converts to a JavaScript Date and asserts it's valid (not NaN) and the year is greater than 1990. Catches malformed date strings that would break date-based sorting or display.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Metadata Display,,,,,,,,,,,,,,,,,,,,,,,,
,MD-01,Candidate image loads in browser without console errors,No console errors or page errors during load,"Attaches listeners for console errors and page errors, then loads metadata-iptc.jpg as a base64 data URL in a Playwright browser page. Waits for the image to fully load (complete === true and naturalWidth > 0). Asserts zero errors were captured. Catches JavaScript decode errors, CORS issues, or malformed data URLs.",metadata-iptc.jpg,,,,,,,,,,,,,,,,,,,
,MD-02,Candidate image src attribute is set correctly,src contains data:image,"Loads metadata-iptc.jpg as a data URL in a browser page, waits for full load, then reads the src attribute from the img element. Asserts it's truthy and contains the string 'data:image'. Validates the data URL was correctly constructed — a malformed src would show a broken image icon.",metadata-iptc.jpg,,,,,,,,,,,,,,,,,,,
,MD-03,Candidate naturalWidth in browser matches buffer width,Browser naturalWidth === sharp metadata width,"Reads metadata-iptc.jpg width from sharp metadata, then loads the same image as a data URL in a browser page. Reads naturalWidth from the DOM img element and asserts it exactly matches the sharp-reported width. Catches browser decoding discrepancies where the rendered size doesn't match the file's actual pixel dimensions.",metadata-iptc.jpg,,,,,,,,,,,,,,,,,,,
,MD-04,Candidate naturalHeight in browser matches buffer height,Browser naturalHeight === sharp metadata height,"Same approach as MD-03 but for height. Reads sharp metadata height, loads in browser, reads naturalHeight from DOM, asserts exact match. Important for layout calculations that depend on accurate natural dimensions.",metadata-iptc.jpg,,,,,,,,,,,,,,,,,,,
,MD-05,metadata-rich.jpg EXIF Make and Model are non-empty,Non-empty trimmed strings,"Parses metadata-rich.jpg with exifr extracting Make and Model. For each field that exists, asserts it's a string type and that trimming whitespace leaves a non-empty result. Catches cases where fields exist in EXIF but contain empty strings or only whitespace, which would show blank in a UI info panel.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MD-06,metadata-stripped.jpg loads cleanly in browser,"Loads with naturalWidth > 0, no page errors","Attaches a page error listener, loads metadata-stripped.jpg as a data URL in a browser page, waits for full load, then asserts naturalWidth > 0 and zero page errors. Ensures images with completely stripped metadata don't cause browser decode errors — the viewer must handle missing EXIF gracefully.",metadata-stripped.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Point of Interest,,,,,,,,,,,,,,,,,,,,,,,,
,POI-01,POI test image loads and has valid dimensions,Width and height > 0,Opens c-poi-test.jpg with sharp and asserts width > 0 and height > 0. A smoke test ensuring the POI fixture is readable before running more expensive brightness centroid calculations.,c-poi-test.jpg,,,,,,,,,,,,,,,,,,,
,POI-02,POI image brightness centroid is within image bounds,"Centroid (cx, cy) both between 0 and 1","Downsamples c-poi-test.jpg to 100x100 greyscale, then computes the brightness-weighted centroid by summing x*luminance and y*luminance across all pixels. Normalizes to 0–1 range. Asserts both cx and cy are between 0 and 1 exclusive. Validates the centroid algorithm produces sane coordinates.",c-poi-test.jpg,,,,,,,,,,,,,,,,,,,
,POI-03,Reference image brightness centroid is within image bounds,"Centroid (cx, cy) both between 0 and 1","Same brightness centroid calculation as POI-02 but on c-sizing-landscape.jpg (a different image with different content). Asserts cx and cy are between 0 and 1. Ensures the algorithm works across different content types, not just the POI-specific fixture.",c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,POI-04,POI image brightness centroid is in the top-left quadrant,cx < 0.6 and cy < 0.6,"Computes the brightness centroid of c-poi-test.jpg (same method as POI-02) and asserts cx < 0.6 and cy < 0.6. The test image has its subject (a bright region) placed in the top-left area, so the centroid should be biased toward that quadrant. Catches crop logic that would center on the wrong region.",c-poi-test.jpg,,,,,,,,,,,,,,,,,,,
,POI-05,POI image center region is not blank,Center 20x20 region mean luminance between 5 and 250,"Downsamples c-poi-test.jpg to 100x100 greyscale, then samples the center 20x20 pixel region (rows 40–59, columns 40–59). Computes mean luminance of that region and asserts it's between 5 and 250. Ensures the image has actual content in the center — a completely black or white center would make centroid tests meaningless.",c-poi-test.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Resolution Cap,,,,,,,,,,,,,,,,,,,,,,,,
